name,size,time,max_iter
cupy,1024,1.5015122999902815,100
cupy,1024,0.1436497000104282,100
cupy,1024,0.14162999999825843,100
cupy,1024,0.14094529999420047,100
cupy,1024,0.14085110000451095,100
cupy,1024,0.14093979998142458,100
cupy,1024,0.14140550000593066,100
cupy,1024,0.1412164999928791,100
cupy,1024,0.1407617999939248,100
cupy,1024,0.14079549998859875,100
cupy,1024,0.2769272000005003,200
cupy,1024,0.27932179998606443,200
cupy,1024,0.28769800000009127,200
cupy,1024,0.29921769999782555,200
cupy,1024,0.2829403000068851,200
cupy,1024,0.27770130001590587,200
cupy,1024,0.277075700025307,200
cupy,1024,0.27543310000328347,200
cupy,1024,0.2761774000246078,200
cupy,1024,0.27672110000276007,200
cupy,1024,0.40946330002043396,300
cupy,1024,0.40965489999507554,300
cupy,1024,0.5070892999938224,300
cupy,1024,0.5884382999793161,300
cupy,1024,0.6051227999851108,300
cupy,1024,0.6000392999849282,300
cupy,1024,0.6007699999900069,300
cupy,1024,0.6034348999965005,300
cupy,1024,0.6124389999895357,300
cupy,1024,0.6242156999942381,300
cupy,1024,0.8350680000148714,400
cupy,1024,0.8572720999945886,400
cupy,1024,0.8401211999880616,400
cupy,1024,0.9458367000042927,400
cupy,1024,0.8385388999886345,400
cupy,1024,0.838646999996854,400
cupy,1024,0.8565844999975525,400
cupy,1024,0.9288638000143692,400
cupy,1024,0.8418383999960497,400
cupy,1024,0.8446871000051033,400
cupy,1024,1.0578709999972489,500
cupy,1024,1.0686937999853399,500
cupy,1024,1.075442600005772,500
cupy,1024,1.0621155000117142,500
cupy,1024,1.0707742999948096,500
cupy,1024,1.0811760000069626,500
cupy,1024,1.0777646000206005,500
cupy,1024,1.0688738000171725,500
cupy,1024,1.0689160999900196,500
cupy,1024,1.059320000000298,500
cupy,1024,1.2929757999954745,600
cupy,1024,1.3001213999814354,600
cupy,1024,1.3015793999948073,600
cupy,1024,1.305190799990669,600
cupy,1024,1.3373891999945045,600
cupy,1024,1.3352369999920484,600
cupy,1024,1.3130146999901626,600
cupy,1024,1.3096991000056732,600
cupy,1024,1.2941754999919794,600
cupy,1024,1.3020822999824304,600
cupy,2048,0.6460523999994621,100
cupy,2048,0.5076248999976087,100
cupy,2048,0.48212830000557005,100
cupy,2048,0.43825609999476,100
cupy,2048,0.44135629999800585,100
cupy,2048,0.45710280002094805,100
cupy,2048,0.4569346999924164,100
cupy,2048,0.4581713000079617,100
cupy,2048,0.4586103000037838,100
cupy,2048,0.44217930000741035,100
cupy,2048,0.9696028000034858,200
cupy,2048,1.0287423999980092,200
cupy,2048,1.0130828999972437,200
cupy,2048,1.013928800006397,200
cupy,2048,0.9994332999922335,200
cupy,2048,1.1260915999882855,200
cupy,2048,1.0063401000224985,200
cupy,2048,1.05004070000723,200
cupy,2048,1.0131785000266973,200
cupy,2048,1.0044887000112794,200
cupy,2048,1.6176459999987856,300
cupy,2048,1.4986683999886736,300
cupy,2048,1.7284394000016619,300
cupy,2048,1.7407087000028696,300
cupy,2048,2.0654289000085555,300
cupy,2048,1.7819570999999996,300
cupy,2048,1.7158710999938194,300
cupy,2048,1.637770700006513,300
cupy,2048,1.6736886999860872,300
cupy,2048,1.6065562999865506,300
cupy,2048,2.0112222000025213,400
cupy,2048,2.0003752000047825,400
cupy,2048,1.9998025999811944,400
cupy,2048,2.244445399992401,400
cupy,2048,2.0211872000072617,400
cupy,2048,2.013995299988892,400
cupy,2048,2.028844999993453,400
cupy,2048,1.9977895000192802,400
cupy,2048,1.9794649000104982,400
cupy,2048,2.037386300013168,400
cupy,2048,2.6690708000096492,500
cupy,2048,2.458337499992922,500
cupy,2048,2.423768399981782,500
cupy,2048,2.473146700009238,500
cupy,2048,2.419102700019721,500
cupy,2048,2.4023671000031754,500
cupy,2048,2.45243739997386,500
cupy,2048,2.398605199996382,500
cupy,2048,2.3895915999892168,500
cupy,2048,2.3922785999893676,500
cupy,2048,3.4198047000099905,600
cupy,2048,2.889967000024626,600
cupy,2048,2.857005800004117,600
cupy,2048,2.8274778999912087,600
cupy,2048,2.7988775999983773,600
cupy,2048,2.8488594999944326,600
cupy,2048,2.831978300004266,600
cupy,2048,2.8804527000174858,600
cupy,2048,2.8420325000188313,600
cupy,2048,2.819551499997033,600
cupy,4096,1.851401599997189,100
cupy,4096,1.7501912000006996,100
cupy,4096,1.7446190000046045,100
cupy,4096,1.6911633999843616,100
cupy,4096,1.7181631999847014,100
cupy,4096,1.6577666999946814,100
cupy,4096,1.6287847999774385,100
cupy,4096,1.6274249000125565,100
cupy,4096,1.5897750000003725,100
cupy,4096,1.6460510999895632,100
cupy,4096,2.833213900012197,200
cupy,4096,3.091495999979088,200
cupy,4096,3.087406899983762,200
cupy,4096,3.148679000005359,200
cupy,4096,3.1155611000140198,200
cupy,4096,3.150995800009696,200
cupy,4096,3.1371616999967955,200
cupy,4096,3.0758811999985483,200
cupy,4096,3.1140862999891397,200
cupy,4096,3.1588700999855064,200
cupy,4096,5.3761975999805145,300
cupy,4096,4.172239399980754,300
cupy,4096,4.618786400009412,300
cupy,4096,4.73416449999786,300
cupy,4096,4.682191400002921,300
cupy,4096,4.563211599976057,300
cupy,4096,4.561055300000589,300
cupy,4096,4.6178753999993205,300
cupy,4096,4.426395699993009,300
cupy,4096,4.84895729998243,300
cupy,4096,6.382880800025305,400
cupy,4096,6.922483300004387,400
cupy,4096,6.100925099977758,400
cupy,4096,6.883230999985244,400
cupy,4096,5.948819099983666,400
cupy,4096,6.0241689999820665,400
cupy,4096,5.9886311999871396,400
cupy,4096,6.282871100003831,400
cupy,4096,5.950122500013094,400
cupy,4096,6.005487500020536,400
cupy,4096,7.519571300013922,500
cupy,4096,7.636999000009382,500
cupy,4096,7.537581900018267,500
cupy,4096,7.951032800017856,500
cupy,4096,8.31135629999335,500
cupy,4096,8.681242600025143,500
cupy,4096,7.828394699987257,500
cupy,4096,9.254384600004414,500
cupy,4096,8.213492800015956,500
cupy,4096,8.346607200015569,500
cupy,4096,9.224594600003911,600
cupy,4096,9.817543699988164,600
cupy,4096,9.41369419998955,600
cupy,4096,9.84175629998208,600
cupy,4096,9.434616199985612,600
cupy,4096,10.206204999994952,600
cupy,4096,9.435981399990851,600
cupy,4096,9.053908899979433,600
cupy,4096,9.450063399999635,600
cupy,4096,10.12674189999234,600
cupy,8192,4.615857599972514,100
cupy,8192,3.064882899983786,100
cupy,8192,2.9406233999761753,100
cupy,8192,2.9752054999989923,100
cupy,8192,2.8517447999911383,100
cupy,8192,2.585511500015855,100
